date,max,average,min,precipitation,rain,city
8/5/16,90,77.7,70,0.00,0,0
8/6/16,88,80.8,73,0.00,0,0
8/7/16,88,82,77,0.00,0,0
8/8/16,91,81.7,75,0.00,0,0
8/9/16,88,80.1,75,0.00,0,0
8/10/16,81,77.1,68,0.00,0,0
8/11/16,88,80.2,72,0.00,0,0
8/12/16,86,80.2,73,0.00,0,0
8/13/16,86,79.3,72,0.00,0,0
8/14/16,84,77.7,70,0.00,0,0
8/15/16,84,77.8,72,0.00,0,0
8/16/16,82,77.3,70,0.00,0,0
8/17/16,90,77.7,70,0.00,0,0
8/18/16,84,76.1,68,0.00,0,0
8/19/16,86,76.8,66,0.09,1,0
8/20/16,91,79.1,72,0.00,0,0
8/21/16,79,73.6,68,0.00,0,0
8/22/16,86,80.4,72,0.00,0,0
8/23/16,88,81.5,73,0.00,0,0
8/24/16,88,79.7,73,0.45,1,0
8/25/16,86,79.4,73,0.00,0,0
8/26/16,86,79.5,75,0.00,0,0
8/27/16,84,78.3,73,0.00,0,0
8/28/16,90,80,72,0.00,0,0
8/29/16,88,80.1,72,0.00,0,0
8/30/16,86,75.2,68,0.00,0,0
8/31/16,75,71.8,64,0.00,0,0
9/1/16,84,77.3,70,0.00,0,0
9/2/16,86,78.9,73,0.00,0,0
9/3/16,90,80.4,72,0.00,0,0
9/4/16,91,83.8,77,0.00,0,0
9/5/16,93,82.7,73,0.00,0,0
9/6/16,90,82.2,73,0.00,0,0
9/7/16,81,76.2,72,0.00,0,0
9/8/16,86,75.7,70,0.00,0,0
9/9/16,84,72.6,64,0.00,0,0
9/10/16,84,75.3,66,0.00,0,0
9/11/16,79,72.8,66,0.00,0,0
9/12/16,81,72.3,66,0.00,0,0
9/13/16,79,72.2,64,7.49,1,0
9/14/16,79,67.3,61,0.00,0,0
9/15/16,79,68.2,59,0.42,1,0
9/16/16,75,68.8,63,0.00,0,0
9/17/16,84,74.2,64,0.00,0,0
9/18/16,81,73,66,0.00,0,0
9/19/16,79,71.6,66,0.00,0,0
9/20/16,72,67.4,64,0.00,0,0
9/21/16,72,66.8,59,0.00,0,0
9/22/16,73,67.6,61,0.00,0,0
9/23/16,73,67.7,61,0.00,0,0
9/24/16,75,69.9,61,0.00,0,0
9/25/16,77,71.8,64,0.07,1,0
9/26/16,77,72.9,70,0.00,0,0
